"date","LE_downscaled"
"2022-08-22",9.01216627429482
"2022-08-23",9.01930541273542
"2022-08-24",9.08368489087107
"2022-08-25",9.19790482285057
"2022-08-26",9.01232911052914
"2022-08-27",9.02400410201785
"2022-08-28",9.04168204343113
"2022-08-29",8.96502492266301
"2022-08-30",8.99526690998907
"2022-08-31",8.98644495593071
"2022-09-01",9.04814365747553
"2022-09-02",8.97935189333776
"2022-09-03",9.00029231891851
"2022-09-04",9.04099875955398
"2022-09-05",9.03325435202373
"2022-09-06",9.02795301159754
"2022-09-07",8.96267296007591
"2022-09-08",8.99233323982532
"2022-09-09",8.99214946002388
"2022-09-10",8.96936547694777
"2022-09-11",9.04610689557352
"2022-09-12",9.03723572413245
"2022-09-13",9.04503877365062
"2022-09-14",9.01657123004845
"2022-09-15",9.01850484488242
