"date","LE_downscaled"
"2022-08-22",9.34113927732713
"2022-08-23",9.00491614127336
"2022-08-24",8.77745033189314
"2022-08-25",8.64836401841328
"2022-08-26",9.45237062930767
"2022-08-27",9.0757510299658
"2022-08-28",9.04472076540597
"2022-08-29",9.49689276205766
"2022-08-30",9.0038597771993
"2022-08-31",9.20032629034763
"2022-09-01",9.0400651934444
"2022-09-02",9.3830015748027
"2022-09-03",9.30901479851471
"2022-09-04",9.19422897067587
"2022-09-05",8.89427662844832
"2022-09-06",9.20487175269888
"2022-09-07",9.38239597194591
"2022-09-08",8.93862671493218
"2022-09-09",9.17109218880625
"2022-09-10",9.50486538603028
"2022-09-11",9.14591493822029
"2022-09-12",8.97789111378913
"2022-09-13",8.8748870142551
"2022-09-14",9.10093516240239
"2022-09-15",9.1263636005369
